# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Transmission[no-units]
1198.35505 0.982674
1198.44447 0.972996
1198.5339 0.96055
1198.62333 0.960597
1198.71277 0.936693
1198.80221 0.900623
1198.89167 0.925948
1198.98113 0.945825
1199.07059 0.945788
1199.16007 0.928365
1199.24955 0.937092
1199.33903 0.96841
1199.42852 0.983575
1199.51802 0.984048
1199.60753 0.97251
1199.69704 0.95788
1199.78656 0.968471
1199.87609 0.981809
1199.96562 0.983468
1200.05516 0.971212
1200.14471 0.956235
1200.23426 0.968228
1200.32382 0.978559
1200.41339 0.973771
1200.50296 0.971065
1200.59254 0.978502
1200.68213 0.9785
1200.77172 0.958654
1200.86132 0.940497
1200.95093 0.961785
1201.04054 0.978428
1201.13016 0.979419
1201.21979 0.972203
1201.30942 0.958009
1201.39906 0.960048
1201.4887 0.972586
1201.57836 0.981138
1201.66802 0.977045
1201.75768 0.939532
1201.84736 0.8909
1201.93704 0.91825
1202.02673 0.96627
1202.11642 0.983598
1202.20612 0.986035
1202.29583 0.986195
1202.38554 0.985527
1202.47526 0.982943
1202.56499 0.973473
1202.65472 0.96301
1202.74446 0.971814
1202.83421 0.981471
1202.92396 0.980659
1203.01372 0.9749
1203.10349 0.974847
1203.19326 0.977747
1203.28304 0.967457
1203.37283 0.952252
1203.46262 0.955128
1203.55242 0.953169
1203.64223 0.904499
1203.73205 0.813459
1203.82187 0.805034
1203.91169 0.882399
1204.00153 0.922966
1204.09137 0.945387
1204.18122 0.961232
1204.27107 0.966584
1204.36093 0.96306
1204.4508 0.966054
1204.54067 0.973121
1204.63055 0.973328
1204.72044 0.975097
1204.81034 0.973482
1204.90024 0.965593
1204.99015 0.920091
1205.08006 0.877443
1205.16998 0.92684
1205.25991 0.972355
1205.34984 0.98041
1205.43979 0.980948
1205.52973 0.980062
1205.61969 0.982474
1205.70965 0.985189
1205.79962 0.984687
1205.88959 0.981414
1205.97957 0.979492
1206.06956 0.980148
1206.15956 0.979927
1206.24956 0.981952
1206.33957 0.978167
1206.42958 0.959151
1206.51961 0.944875
1206.60963 0.961396
1206.69967 0.973633
1206.78971 0.979634
1206.87976 0.9766
1206.96982 0.958651
1207.05988 0.947998
1207.14995 0.960703
1207.24002 0.965904
1207.33011 0.957469
1207.4202 0.938297
1207.51029 0.949602
1207.60039 0.973559
1207.6905 0.982884
1207.78062 0.979986
1207.87074 0.975015
1207.96087 0.975486
1208.05101 0.953095
1208.14115 0.919152
1208.2313 0.93955
1208.32146 0.97176
1208.41162 0.975323
1208.50179 0.967522
1208.59197 0.97451
1208.68215 0.980975
