# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
2118.88335 0.991394
2118.91628 0.99211
2118.94921 0.992531
2118.98214 0.992668
2119.01508 0.99262
2119.04801 0.992036
2119.08094 0.990359
2119.11388 0.984934
2119.14681 0.977783
2119.17975 0.980568
2119.21268 0.987724
2119.24562 0.991593
2119.27855 0.992531
2119.31149 0.99232
2119.34443 0.992437
2119.37737 0.992683
2119.4103 0.99184
2119.44324 0.989047
2119.47618 0.986935
2119.50912 0.989153
2119.54206 0.989714
2119.575 0.983407
2119.60795 0.975882
2119.64089 0.97992
2119.67383 0.984777
2119.70677 0.981189
2119.73972 0.969327
2119.77266 0.959325
2119.80561 0.965799
2119.83855 0.979273
2119.8715 0.98727
2119.90444 0.990143
2119.93739 0.990674
2119.97034 0.989472
2120.00328 0.985544
2120.03623 0.974338
2120.06918 0.959184
2120.10213 0.961087
2120.13508 0.975901
2120.16803 0.985603
2120.20098 0.98774
2120.23393 0.986003
2120.26688 0.984237
2120.29984 0.983451
2120.33279 0.976981
2120.36574 0.966074
2120.3987 0.965882
2120.43165 0.97756
2120.46461 0.985828
2120.49756 0.984827
2120.53052 0.978773
2120.56347 0.97949
2120.59643 0.987145
2120.62939 0.991734
2120.66235 0.992626
2120.6953 0.992816
2120.72826 0.993355
2120.76122 0.993814
2120.79418 0.993993
2120.82714 0.994142
2120.8601 0.994148
2120.89307 0.993917
2120.92603 0.993359
2120.95899 0.991022
2120.99195 0.983709
2121.02492 0.976649
2121.05788 0.981115
2121.09085 0.987627
2121.12381 0.991527
2121.15678 0.99308
2121.18974 0.993313
2121.22271 0.993455
2121.25568 0.99323
2121.28864 0.991901
2121.32161 0.988434
2121.35458 0.98432
2121.38755 0.984555
2121.42052 0.987668
2121.45349 0.986612
2121.48646 0.980936
2121.51943 0.98059
2121.5524 0.987665
2121.58538 0.992363
2121.61835 0.993475
2121.65132 0.993631
2121.6843 0.993729
2121.71727 0.993807
2121.75025 0.993967
2121.78322 0.994197
2121.8162 0.994087
2121.84917 0.993039
2121.88215 0.991535
2121.91513 0.990799
2121.94811 0.986809
2121.98108 0.980533
2122.01406 0.982811
2122.04704 0.989435
2122.08002 0.992944
2122.113 0.993953
2122.14598 0.994224
2122.17897 0.994409
2122.21195 0.994546
2122.24493 0.994589
2122.27791 0.994588
2122.3109 0.994528
2122.34388 0.994303
2122.37687 0.993703
2122.40985 0.992332
2122.44284 0.987733
2122.47582 0.981546
2122.50881 0.983703
2122.5418 0.990149
2122.57478 0.993426
2122.60777 0.994141
2122.64076 0.994087
2122.67375 0.993434
2122.70674 0.992634
2122.73973 0.993075
2122.77272 0.993864
2122.80571 0.994212
2122.8387 0.994329
2122.8717 0.99422
2122.90469 0.993448
2122.93768 0.990042
2122.97068 0.984006
2123.00367 0.983048
2123.03666 0.988977
2123.06966 0.992954
2123.10266 0.993838
2123.13565 0.994112
2123.16865 0.994347
2123.20165 0.994498
2123.23464 0.9946
2123.26764 0.994687
2123.30064 0.994696
2123.33364 0.994621
2123.36664 0.994437
2123.39964 0.993988
2123.43264 0.992175
2123.46564 0.986582
2123.49865 0.981481
2123.53165 0.985862
2123.56465 0.991362
2123.59766 0.993453
2123.63066 0.994031
2123.66366 0.994223
2123.69667 0.994409
2123.72968 0.994491
2123.76268 0.994358
2123.79569 0.994102
2123.82869 0.993997
2123.8617 0.994042
2123.89471 0.993922
2123.92772 0.993062
2123.96073 0.989724
2123.99374 0.98432
2124.02675 0.983843
2124.05976 0.989036
2124.09277 0.992374
2124.12578 0.99303
2124.15879 0.993016
2124.19181 0.99274
2124.22482 0.992117
2124.25783 0.991036
2124.29085 0.989227
2124.32386 0.985487
2124.35688 0.976604
2124.3899 0.955845
2124.42291 0.924048
2124.45593 0.910783
2124.48895 0.932665
2124.52196 0.956623
2124.55498 0.972295
2124.588 0.981554
2124.62102 0.985032
2124.65404 0.983918
2124.68706 0.975889
2124.72008 0.959684
2124.7531 0.95045
2124.78613 0.963304
2124.81915 0.979565
2124.85217 0.987374
2124.88519 0.990425
2124.91822 0.991922
2124.95124 0.992574
2124.98427 0.992021
2125.01729 0.988463
2125.05032 0.984358
2125.08335 0.987182
2125.11637 0.991662
