# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1521.15853 1632.64
1521.46279 1618.23
1521.76712 1567.75
1522.0715 1596.46
1522.37595 1615.3
1522.68045 1640.58
1522.98502 1629.24
1523.28965 1545.73
1523.59433 1530.2
1523.89908 1531.04
1524.20389 559378
1524.50876 1467.47
1524.8137 1493.48
1525.11869 1471.12
1525.42374 1464.47
1525.72886 1439.55
1526.03404 1446.67
1526.33927 1427.5
1526.64457 1401.28
1526.94993 1552.28
1527.25535 1381.41
1527.56083 1394.26
1527.86638 1387.72
1528.17198 1491.61
1528.47764 1473.93
1528.78337 201505
1529.08916 1338.18
1529.39501 1326.58
1529.70092 1300.38
1530.00689 1303.3
1530.31292 1277.49
1530.61901 1280.12
1530.92517 1267.43
1531.23138 1234.98
1531.53766 1240.93
1531.844 1233.19
1532.1504 1222.83
1532.45686 1209.44
1532.76338 1197.06
1533.06996 287241
1533.37661 288185
1533.68331 1161.29
1533.99008 1144.53
1534.29691 1137.24
1534.6038 1131.55
1534.91075 1111.52
1535.21776 1095.25
1535.52484 1091.77
1535.83197 1077.34
1536.13917 1068.11
1536.44643 1060.51
1536.75375 1049.74
1537.06113 1034.83
1537.36857 1034.26
1537.67608 1024.79
1537.98364 1013.06
1538.29127 1000.03
1538.59896 1028.15
1538.90671 980.094
1539.21452 985.791
1539.5224 153281
1539.83033 942.911
1540.13833 924.577
1540.44639 1312.94
1540.75451 901.163
1541.06269 1147.63
1541.37093 888.774
1541.67924 867.013
1541.9876 856.261
1542.29603 861.512
1542.60452 849.455
1542.91307 3267.65
1543.22169 367156
1543.53036 807.345
1543.8391 2213.38
1544.1479 780.719
1544.45676 779.445
1544.76568 778.527
1545.07467 773.962
1545.38371 769.605
1545.69282 765.021
1546.00199 760.692
1546.31122 12287.5
1546.62051 752.255
1546.92987 748.606
1547.23929 746.881
1547.54876 7078.08
1547.8583 735.015
1548.16791 731.596
1548.47757 727.283
1548.7873 722.599
1549.09709 718.477
1549.40694 714.131
1549.71685 709.079
1550.02682 43097.1
1550.33686 701.274
1550.64696 696.302
1550.95712 79439.7
1551.26734 687.761
1551.57763 683.206
1551.88797 22174.8
1552.19838 672.726
1552.50885 670.406
1552.81938 666.278
1553.12998 661.659
1553.44064 657.648
1553.75136 653.168
1554.06214 168867
1554.37298 643.518
1554.68389 117774
1554.99485 635.71
1555.30588 631.335
1555.61698 627.091
1555.92813 622.683
1556.23935 618.73
1556.55063 614.579
1556.86197 27621.5
1557.17337 27612.3
1557.48484 1641.91
1557.79637 596.432
1558.10796 591.736
1558.41961 587.623
1558.73132 582.713
1559.0431 578.822
1559.35494 574.287
1559.66684 233028
1559.97881 565.431
1560.29084 2269.66
1560.60292 556.92
1560.91508 552.044
1561.22729 548.027
1561.53957 543.793
1561.85191 539.402
1562.16431 533.882
1562.47677 529.709
1562.7893 3081.35
1563.10189 125930
1563.41454 517.427
1563.72725 512.585
1564.04003 508.477
1564.35287 503.08
1564.66577 499.818
1564.97874 495.431
1565.29176 490.747
1565.60485 321825
1565.918 29325.4
1566.23122 477.428
1566.5445 981.329
1566.85784 468.333
1567.17124 1019.46
1567.48471 466.846
1567.79823 1433.32
1568.11183 467.699
1568.42548 5841.92
1568.7392 466.54
1569.05297 465.297
1569.36682 2023.76
1569.68072 2330.26
1569.99469 459.791
1570.30872 93042.4
1570.62281 3152.61
1570.93697 451.166
1571.25119 6417.14
1571.56547 440.884
1571.87981 4324.72
1572.19422 446.966
1572.50869 5021.08
1572.82322 462.462
1573.13782 453.429
1573.45248 5162.25
1573.7672 6582.44
1574.08199 5322.4
1574.39683 464.419
1574.71175 6320.87
1575.02672 7854.48
1575.34176 507.248
1575.65686 478.183
1575.97202 14518.9
1576.28724 483.295
1576.60253 8197.3
1576.91789 5119.56
1577.2333 463.902
1577.54878 5207.09
1577.86432 8252.76
1578.17992 15403.1
1578.49559 487.34
1578.81132 2806.57
1579.12712 465.737
1579.44297 7395.63
1579.75889 494.009
1580.07488 472.478
1580.39092 25331.2
1580.70703 34361.6
1581.02321 17886.2
1581.33944 938.115
1581.65574 499.745
1581.97211 489.029
1582.28853 1919.34
1582.60502 493.857
1582.92157 82009.3
1583.23819 756956
1583.55487 500.226
1583.87161 3698.88
1584.18842 25113
1584.50529 2604.93
1584.82222 269825
1585.13922 508.785
1585.45628 4404.37
1585.7734 3391.04
1586.09058 5432.93
1586.40783 4990.07
1586.72515 4214.33
1587.04252 88027.9
1587.35996 3472.16
1587.67747 518.21
1587.99504 518.604
1588.31267 3604.68
1588.63036 3056.93
1588.94812 3757.03
1589.26594 522.2
1589.58382 26436
1589.90177 3072.96
1590.21979 2410.85
1590.53786 525.371
1590.856 526.03
1591.1742 1977.54
1591.49247 2046.19
1591.8108 3284.5
1592.12919 529.29
1592.44765 2644.05
1592.76617 1379.22
1593.08476 6952.53
1593.40341 552.672
1593.72212 533.302
1594.0409 533.964
1594.35974 982.872
1594.67864 935.138
1594.99761 536.153
1595.31664 1624.1
1595.63573 537.908
1595.95489 538.571
1596.27412 538.472
1596.5934 750.257
1596.91275 540.497
1597.23217 165332
1597.55165 1631.94
1597.87119 541.432
1598.1908 541.335
1598.51047 1367.97
1598.8302 540.59
1599.15 536.359
1599.46986 542.441
1599.78979 545.617
1600.10978 547.483
1600.42983 549.124
1600.74995 549.883
1601.07013 549.955
1601.39038 549.829
1601.71069 592.294
1602.03106 558.561
1602.3515 734.103
1602.672 566.283
1602.99257 551303
1603.3132 573.991
1603.63389 580.242
1603.95465 588.781
1604.27547 878.455
1604.59636 610.092
1604.91731 634.145
1605.23833 635.35
1605.55941 880.564
1605.88055 894.408
1606.20176 650.708
1606.52303 644.694
1606.84437 642.086
1607.16577 667.703
1607.48724 658.702
1607.80877 42202.3
1608.13036 166176
1608.45202 692.419
1608.77374 659.547
1609.09553 662.333
1609.41738 696.137
1609.73929 687.991
1610.06127 680.525
1610.38332 696.072
1610.70543 722.761
1611.0276 702.47
1611.34984 732.817
1611.67214 725.739
1611.99451 726.266
1612.31694 758.873
1612.63943 742.18
1612.96199 583782
1613.28462 774.726
1613.60731 766.153
1613.93006 786.053
1614.25288 782.807
1614.57576 788.617
1614.89871 802.285
1615.22172 799.413
1615.5448 812.364
1615.86794 811.474
1616.19115 819.232
1616.51442 826.379
1616.83775 828.621
1617.16115 838.371
1617.48462 840.96
1617.80815 848.802
1618.13174 851.888
1618.4554 859.684
1618.77912 861.956
1619.10291 869.323
1619.42676 159805
1619.75068 899.302
1620.07466 885.652
1620.39871 891.857
1620.72282 924.855
1621.047 930.316
1621.37124 907.026
1621.69555 912.072
1622.01992 926.295
